YEAR_MONTH,COMMISSIONER_CODE,COMMISSIONER_NAME,CONTRACT_NUMBER,PROVIDER_NAME,LATEST_PPC_ADDRESS_POSTCODE,LSOA11_CODE,UDA_PERF_TARGET,UDA_FIN_VAL,UDA_DELIVERED,LATE_SUBMITTED_FP17,UDA_DELIVERED_FD,BAND_1_DELIVERED,"BAND_2A_DELIVERED ",BAND_2B_DELIVERED,BAND_2C_DELIVERED,BAND_3_DELIVERED,BAND_URGENT_DELIVERED,BAND_OTHER_DELIVERED,CHILD_12M_COUNT,ADULT_24M_COUNT,GENERAL_DENTAL_FIN_VALUE
202401,QM7,Hertfordshire and West Essex ICB,1000520000,Chigwell Dental Practice,IG7 5PZ,E01021765,9244,356906.3,866.4,0,0,308,45,35,0,19,17,0,631,2401,356906.3
202401,QNX,Sussex ICB,1000610000,MISS AR PATEL,BN21 4LL,E01020935,1800,57570.93,125.4,0,0,84,9,0,0,1,2,0,498,39,57570.93
202401,QT1,Nottingham and Nottinghamshire ICB,1000620000,McDaid & McDaid,NG9 5BA,E01028096,15050,485021.86,940.8,0,0,460,69,21,0,10,39,2,1420,2954,485021.86
202401,QSL,Somerset ICB,1000710000,Yarde House Partnership,TA1 1DB,E01029289,2600,77885.99,189.6,0,0,78,18,0,0,4,8,0,411,426,77885.99
202401,QT6,Cornwall and the Isles Of Scilly ICB,1000730000,Spadental South West Limited,PL12 6AF,E01018793,19116,605705.89,634.4,0,0,441,52,7,0,0,2,0,2497,223,605705.89
202401,QHG,"Bedfordshire, Luton and Milton Keynes ICB",1000790000,Rodericks Dental Ltd,MK40 1NN,E01017469,25000,771932.17,1386.8,0,0,296,86,51,9,12,309,0,1380,6225,771932.17
202401,QUY,"Bristol, North Somerset and South Gloucestershire ICB",1000800000,Monika Molnar,BS25 1JF,E01014742,1200,33463.61,82.2,0,0,43,9,1,0,0,6,0,413,76,33463.61
202401,QHG,"Bedfordshire, Luton and Milton Keynes ICB",1000810000,Rodericks Dental Ltd,LU1 2AL,E01015794,25000,754788.05,586.2,0,0,52,67,40,0,5,61,0,476,2330,754788.05
202401,QHG,"Bedfordshire, Luton and Milton Keynes ICB",1000820000,Rodericks Dental Ltd,LU3 2NJ,E01015785,14000,430287.52,1180,0,0,218,144,71,1,10,40,0,1193,2401,430287.52
202401,QT6,Cornwall and the Isles Of Scilly ICB,1000830000,PCH Dental CIC,TR18 3PE,E01018997,10946,364170.55,129.8,0,0,41,15,3,0,1,14,0,271,1002,364170.55
202401,QHL,Birmingham and Solihull ICB,1000850000,Broadway Dental Suite,B18 7BA,E01009141,11239,427441.76,750.4,0,0,77,80,32,1,18,42,0,642,2493,427441.76
202401,QRL,Hampshire and Isle Of Wight ICB,1000890000,Hilsea Dental Care Ltd,PO2 9HE,E01017087,17002,460234.2,1800.2,0,0,276,114,145,0,33,51,0,810,2162,460234.2
202401,QYG,Cheshire and Merseyside ICB,1000960000,Care (Lancashire) Ltd,L20 3EF,E01007009,24000,757669.65,2447,1,0,316,126,113,69,51,80,0,459,1987,757669.65
202401,QT1,Nottingham and Nottinghamshire ICB,1001010000,Brookview Dental Care,LE12 6JG,E01028387,1000,35576.75,89,0,0,42,6,1,0,2,0,0,219,175,35576.75
202401,QT1,Nottingham and Nottinghamshire ICB,1001030000,"Dr H S Thiara, Mrs R K Mattu",NG5 7ED,E01028209,7997,331313.43,622,0,0,167,51,24,0,13,20,2,457,2133,331313.43
202401,QOQ,Humber and North Yorkshire ICB,1001050000,Dental Logic Limited,HU10 7AA,E01013117,8624,252479.77,827.4,0,0,326,115,10,0,7,17,2,782,2848,252479.77
202401,QT1,Nottingham and Nottinghamshire ICB,1001090000,Whitecross Dental Care Limited,LE12 6PG,E01028389,20000,606092.23,1625.2,0,0,848,116,26,6,13,81,4,2110,4809,606092.23
202401,QWO,West Yorkshire ICB,1001110000,Bodental Practice,BD23 1RU,E01027581,670,20085.37,1,0,0,1,0,0,0,0,0,0,294,42,20085.37
202401,QYG,Cheshire and Merseyside ICB,1001220000,The Old Surgery Dental Practice Ltd,CW1 5EQ,E01018501,3300,213033.74,74,0,0,5,13,6,0,0,0,0,4,318,213033.74
202401,QMM,Norfolk and Waveney ICB,1001280000,Rookwood Dental Practice,NR17 2BN,E01026449,3939,122495.55,332.6,0,0,127,31,5,0,6,13,0,491,972,122495.55
202401,QOP,Greater Manchester ICB,1001340000,REVIVE DENTAL CARE LIMITED,M4 6EE,E01033663,5509,390618.54,424,0,0,63,38,24,1,8,20,0,175,958,390618.54
202401,QOQ,Humber and North Yorkshire ICB,1001350000,MR N TIBREWAL,HG4 1QW,E01027707,16464,560614.44,1273.6,0,0,406,85,55,1,19,83,3,1002,3985,560614.44
202401,QNQ,Frimley ICB,1001360000,MR JS KAILA,GU15 2HT,E01030800,11191,350224.02,819.4,0,119.4,252,69,29,1,14,32,2,364,2508,350224.02
202401,QWU,Coventry and Warwickshire ICB,1001380000,Longfellow Road Partnership,CV2 5HB,E01009614,49397,1436209.77,4314,0,0,1425,346,122,1,61,415,4,3997,13835,1436209.77
202401,QJ2,Derby and Derbyshire ICB,1001500000,Brimington Dental Practice,S43 1AD,E01019534,21209,698473.61,1851,0,0,708,242,36,1,17,19,3,1338,5341,698473.61
202401,QUA,Black Country ICB,1001620000,Jandu Dental Surgery,DY8 1EJ,E01009856,7200,187383.68,75.8,0,0,28,6,5,0,0,4,0,84,395,187383.68
202401,QUA,Black Country ICB,1001640000,Princes End Dental Practice,DY4 0UB,E01010033,4890,144494.13,608.8,0,0,117,17,54,3,11,14,1,795,673,144494.13
202401,QHL,Birmingham and Solihull ICB,1001650000,Family Dental Centre Partnership,B44 8LD,E01009230,17884,609756.48,1474.8,0,0,522,152,30,1,19,79,6,1757,4596,609756.48
202401,QNX,Sussex ICB,1001670000,ABC Dental Surgery Ltd,BN2 3LD,E01016890,13371,411744.55,1146.6,0,0,168,126,46,1,26,43,0,756,1792,411744.55
202401,QHM,North East and North Cumbria ICB,1001720000,No.1 Victoria Terrace Ltd,NE15 9EL,E01008405,5140,137519.99,362.6,0,0,68,47,18,0,4,3,1,353,832,137519.99
202401,QHL,Birmingham and Solihull ICB,1001730000,Hilltop Dental Spa,B31 2QT,E01009206,23164,767604.09,1934,3,176.2,651,178,42,2,34,100,0,1765,6177,767604.09
202401,QMF,North East London ICB,1001750000,Nilesh Patel,E20 1BX,E01033583,18000,550440,1071.2,0,0,318,81,15,2,15,201,0,1578,3663,550440
202401,QUA,Black Country ICB,1001760000,Mr S Merali,B64 7HU,E01009956,1700,47845.39,167.8,0,0,40,13,0,0,7,4,0,249,140,47845.39
202401,QJ2,Derby and Derbyshire ICB,1001800000,Chaddesden Dental Practice,DE21 6PE,E01013507,21628,671523.08,1524,0,0,596,191,36,0,8,60,7,1042,4157,671523.08
202401,QJ2,Derby and Derbyshire ICB,1001910000,Nationwide Healthcare - Normanton Road Family Dental Centre,DE23 6WD,E01013484,1,1.23,,,,,,,,,,,,9,1.23
202401,QU9,"Buckinghamshire, Oxfordshire and Berkshire West ICB",1001940000,Chalfont St Peter Partnership,SL9 9AL,E01017755,1600,49770.1,147.2,0,0,46,16,2,0,3,6,0,482,206,49770.1
202401,QJ2,Derby and Derbyshire ICB,1001950000,TASK B LTD - T/A Dental Perfection,DE23 3TX,E01013541,10900,293044.62,819.8,5,0,350,47,25,0,16,14,0,975,2588,293044.62
202401,QT1,Nottingham and Nottinghamshire ICB,1001960000,Impressions Dental Care (Nottingham) Limited,NG16 2NH,E01028102,1354,39416.43,117,0,0,67,8,4,0,0,5,0,198,276,39416.43
202401,QT1,Nottingham and Nottinghamshire ICB,1002050000,Family Medical Centre (Green//Hanji),NG3 2FW,E01013954,26057,850290.02,1296,0,0,314,148,30,0,22,100,4,1463,5808,850290.02
202401,QE1,Lancashire and South Cumbria ICB,1002060000,Genix Healthcare Ltd,LA4 6ND,E01025164,19500,568250.31,1780.4,0,132.2,751,177,55,3,11,47,3,2929,3661,568250.31
202401,QMF,North East London ICB,1002070000,Preventdent Limited,E3 5ED,E01004226,20367,853219.83,2188,0,0,576,205,67,2,46,70,1,3168,3870,853219.83
202401,QT1,Nottingham and Nottinghamshire ICB,1002110000,Rivergreen Dental Practice,NG11 8AD,E01013897,14929,467831.63,1372,0,0,235,214,44,0,16,65,5,913,3026,467831.63
202401,QJM,Lincolnshire ICB,1002190000,Community Dental Services CIC,LN6 9BA,E01026384,4500,2158948,470.4,3,0,136,45,26,0,4,7,0,431,1359,2158948
202401,QE1,Lancashire and South Cumbria ICB,1002200000,Genix Healthcare Ltd,LA4 6ND,E01025164,9780,284999.38,109.4,0,0,12,5,4,0,4,12,1,39,146,284999.38
202401,QHG,"Bedfordshire, Luton and Milton Keynes ICB",1002320000,"Sunita Naidoo, Rahendra Naidoo, Raahil Naidoo and Saroshen N",MK40 3HU,E01017469,7404,230868.16,611.8,0,136,238,63,13,1,6,34,0,927,2477,230868.16
202401,QOC,"Shropshire, Telford and Wrekin ICB",1002330000,Willow Street Dental Practice,SY11 1AD,E01028906,2110,66202.86,167.8,0,0,107,17,1,0,0,4,0,648,226,66202.86
202401,QJ2,Derby and Derbyshire ICB,1002360000,AJ Moore & Associates,NG10 4ER,E01019652,56788,1758705.81,2203,1,0,877,218,47,2,24,111,3,1886,11128,1758705.81
202401,QJ2,Derby and Derbyshire ICB,1002380000,Heanor Dental Practice,DE75 7DT,E01019436,25773,935933.58,2136.6,0,0,768,202,57,3,31,58,12,1726,6418,935933.58
202401,QUA,Black Country ICB,1002670000,Dudley Road Dental Practice,WV2 3DN,E01010428,33459,1078007.32,3347.4,0,0,760,374,151,6,43,112,7,3078,5188,1078007.32
202401,QT1,Nottingham and Nottinghamshire ICB,1002710000,"Peterson, Carr & Towlerton",NG25 0DN,E01028346,3100,85946.14,186.8,0,0,100,13,5,0,1,9,0,585,271,85946.14
202401,QJ2,Derby and Derbyshire ICB,1003050000,New Whittington Dental Practice,S43 2AH,E01019529,11213,435972.87,916,0,0,259,109,22,3,12,45,1,588,2587,435972.87
202401,QNQ,Frimley ICB,1003130000,OPTIMA CARE (MAIDENHEAD) Ltd,SL6 4DT,E01016537,7000,215686.85,707.8,1,175.6,141,65,30,2,14,34,0,984,2195,215686.85
202401,QT1,Nottingham and Nottinghamshire ICB,1003150000,Tuckley and Seton,NG9 2BD,E01028075,2346,73641.2,140,0,0,105,8,1,0,0,5,0,1055,103,73641.2
202401,QT1,Nottingham and Nottinghamshire ICB,1003160000,Dr Mandeep Hampson,NG3 6LH,E01028163,17825,478735.67,1305.8,0,0,390,149,33,3,19,44,11,1036,4466,478735.67
202401,QJ2,Derby and Derbyshire ICB,1003190000,Nationwide Healthcare Providers Ltd,DE55 4LP,E01019468,1,1.23,2.2,0,0,1,0,0,0,0,1,0,4,25,1.23
202401,QU9,"Buckinghamshire, Oxfordshire and Berkshire West ICB",1003220000,Mr F Tahir,RG40 3RB,E01016640,13000,367485.97,1148.4,0,0,617,78,18,1,9,77,0,1767,2699,367485.97
202401,QNQ,Frimley ICB,1003230000,Mr F Tahir,SL3 9EN,E01016564,12351,339924.83,1146.4,1,0,376,169,18,3,7,57,1,1251,2463,339924.83
202401,QNC,Staffordshire and Stoke-on-Trent ICB,1003240000,Hughes & Owen Dental Care,DE14 3QZ,E01032898,1250,31660.55,87.8,0,0,66,4,1,0,0,4,0,566,59,31660.55
202401,QKS,Kent And Medway ICB,1003250000,Mr Waguih Maher Bishay,ME1 1HB,E01016110,3566,260961.38,311,0,0,0,67,22,0,0,0,0,39,454,1
202401,QU9,"Buckinghamshire, Oxfordshire and Berkshire West ICB",1003330000,Dentalcare Limited,RG8 7LU,E01016314,14000,398322.86,874.2,0,0,230,55,50,0,16,31,0,621,2638,398322.86
202401,QJ2,Derby and Derbyshire ICB,1003340000,Chapel Dental Care,SK23 0EZ,E01019720,17496,954010.97,1938.4,0,0,612,203,69,1,23,62,4,1439,4563,954010.97
202401,QJ2,Derby and Derbyshire ICB,1003350000,Chapel Dental Care,SK23 0EZ,E01019720,0,1.23,,,,,,,,,,,,9,1.23
202401,QPM,Northamptonshire ICB,1003450000,Oradi Ltd.,NN8 4PW,E01027349,52783,1578319.27,1540.2,0,0,558,160,30,3,22,56,0,1786,5831,1578319.27
202401,QNC,Staffordshire and Stoke-on-Trent ICB,1003460000,Burton Family Dental Practice,DE13 0NU,E01029434,2675,70179.25,245.6,0,0,160,20,2,0,0,13,0,1250,127,70179.25
202401,QU9,"Buckinghamshire, Oxfordshire and Berkshire West ICB",1003470000,PURESMILE EARLEY LTD,RG6 7HT,E01016668,14000,393527.9,960.4,0,0,157,114,51,0,14,32,0,1029,2489,393527.9
202401,QH8,Mid and South Essex ICB,1003480000,"E Harunani, M Kanani & M N Harunani",CO5 9JT,E01021402,15247,449155.05,1849.2,0,0,247,65,125,1,59,56,1,1217,3333,399655.05
202401,QH8,Mid and South Essex ICB,1003490000,"E Harunani, M Kanani & M N Harunani",CM9 5BS,E01021890,17247,458527.85,1812.2,0,0,271,66,50,0,77,141,0,822,3158,458527.85
202401,QK1,"Leicester, Leicestershire and Rutland ICB",1003510000,JDRM Dental Care Ltd,LE67 3WD,E01025930,15509,436323.99,1485.8,0,0,430,159,60,2,15,49,4,1123,3772,436323.99
202401,QJM,Lincolnshire ICB,1003520000,OASIS DENTAL CARE LTD,NG34 7TW,E01026232,47000,1444733.75,2,0,0,2,0,0,0,0,0,0,365,2792,1444733.75
202401,QJM,Lincolnshire ICB,1003530000,Ishak Practices Limited,LN11 9ET,E01026089,20700,658326.25,1264.4,0,0,443,116,30,3,21,42,0,1372,4653,658326.25
202401,QJM,Lincolnshire ICB,1003540000,Ishak Practices Limited,LN6 8RZ,E01026141,25500,812853.09,1667.2,0,0,738,160,32,6,14,66,0,2105,4893,812853.09
202401,QJM,Lincolnshire ICB,1003550000,Ishak Practices Limited,DN21 2HD,E01026379,27308,868481.78,2112.4,0,0,654,298,41,1,18,112,2,1520,6032,868481.78
202401,QK1,"Leicester, Leicestershire and Rutland ICB",1003560000,Ishak Practices Limited,LE7 2HA,E01025756,10000,291733.2,754.6,0,0,324,53,15,0,14,23,1,875,2654,291733.2
202401,QJK,Devon ICB,1003570000,Peninsula Dental School,PL1 4JZ,E01015047,1,1288045.92,87,0,0,17,20,2,0,0,0,0,,174,1207543.05
202401,QRV,North West London ICB,1003580000,Dr Jeet Parekh and Mrs Mala Parekh,W2 3JH,E01004695,6000,197880.18,349,0,0,80,25,10,0,11,10,0,217,1121,197880.18
202401,QKS,Kent And Medway ICB,1003590000,Medway Dental Care Ltd,ME5 0TX,E01016173,6671,201720.71,601,0,0,70,39,42,0,14,30,0,659,1668,201720.71
202401,QT1,Nottingham and Nottinghamshire ICB,1003700000,Ishak Practices Limited,NG6 9DQ,E01013891,19000,620064.54,242.8,0,0,80,26,4,0,3,24,0,1005,2048,620064.54
202401,QU9,"Buckinghamshire, Oxfordshire and Berkshire West ICB",1003740000,MR AF RAI,HP5 3EZ,E01017781,15000,384206.41,980.6,0,0,340,106,12,0,18,38,1,936,2299,384206.41
202401,QT1,Nottingham and Nottinghamshire ICB,1003760000,Rodericks Dental Ltd,NG8 4PN,E01013868,16500,530246.66,1427.6,0,0,263,203,57,2,14,73,1,1265,2373,530246.66
202401,QT1,Nottingham and Nottinghamshire ICB,1003770000,Rodericks Dental Ltd,NG6 8ET,E01013885,20500,643713.73,1855.6,0,0,377,196,110,0,25,33,1,1299,2256,643713.73
202401,QT1,Nottingham and Nottinghamshire ICB,1003820000,Carlton Dental Care Limited,NG4 1JB,E01028160,0,299441.12,559,0,0,26,156,13,0,0,0,0,1,836,1.12
202401,QT1,Nottingham and Nottinghamshire ICB,1003830000,MR KS MISSAN,NG2 6HT,E01028374,0,72731.12,155,0,0,3,44,4,0,0,0,0,,252,1.12
202401,QU9,"Buckinghamshire, Oxfordshire and Berkshire West ICB",1003940000,Puresmile Marlow,SL7 3AN,E01017891,12000,307952.83,814.4,0,0,330,75,13,0,9,72,0,1095,2245,307952.83
202401,QWU,Coventry and Warwickshire ICB,1003950000,MR NJ GIBB,CV32 4LY,E01033253,15000,435765.01,1019,0,0,396,81,26,4,10,70,8,1451,5011,435765.01
202401,QGH,Herefordshire and Worcestershire ICB,1003970000,MR A PANDEY,DY11 7BQ,E01032470,26200,674607.03,4008.8,0,0,798,408,169,6,68,224,4,1949,6562,674607.03
202401,QGH,Herefordshire and Worcestershire ICB,1003990000,Malvern Spring Dental Practice Ltd,WR14 1AJ,E01032196,5000,128436.01,4,0,0,1,1,0,0,0,0,0,403,249,128436.01
202401,QUA,Black Country ICB,1004040000,New Road Dental Practice,WV13 2DA,E01010404,2000,50656.89,85.2,0,0,17,9,8,0,0,1,0,368,230,50656.89
202401,QUA,Black Country ICB,1004050000,Ravinder Kumar t/a OHC Dental Practice,B69 4DX,E01010017,6000,157792.81,753.8,0,0,156,39,35,1,24,9,2,529,1173,157792.81
202401,QGH,Herefordshire and Worcestershire ICB,1004060000,Gentle Dental Care (DROITWICH)LTD,WR9 8EF,E01032359,13850,372695.65,1056,0,0,408,112,25,0,9,65,1,1357,3196,372695.65
202401,QGH,Herefordshire and Worcestershire ICB,1004070000,Gentle Dental Care (EVESHAM)LTD,WR5 2DL,E01032285,17200,454937.53,8,0,0,2,2,0,0,0,0,0,280,1422,454937.53
202401,QGH,Herefordshire and Worcestershire ICB,1004080000,Gentle Dental Care (WORCESTER)LTD,WR5 2DL,E01032285,30000,793495.67,746.8,1,0,178,72,20,1,17,35,1,1692,4881,793495.67
202401,QE1,Lancashire and South Cumbria ICB,1004210000,Dr D Hammond,FY1 3ER,E01012737,0,308246.33,,,,,,,,,,,,,31135.1
202401,QT1,Nottingham and Nottinghamshire ICB,1004280000,JDSP Dental Limited,NG12 5AA,E01028383,0,37836.12,31,0,0,1,10,0,0,0,0,0,,117,1.12
202401,QGH,Herefordshire and Worcestershire ICB,1004300000,MR T MOODLEY,B97 5SF,E01032270,10000,266046,934,0,0,349,71,14,2,20,40,0,904,2357,266046
202401,QGH,Herefordshire and Worcestershire ICB,1004310000,OASIS DENTAL CARE LTD,B97 4RH,E01032238,16078,412998.8,453.2,0,0,145,53,9,0,5,36,1,818,2831,412998.8
202401,QWU,Coventry and Warwickshire ICB,1004350000,MR DJ LANGMAN,CV37 6LW,E01031234,5000,149841.99,12,0,0,0,4,0,0,0,0,0,87,809,149841.99
202401,QJ2,Derby and Derbyshire ICB,1004400000,Rodericks Dental Ltd,DE56 1WN,E01019407,0,34546.12,,,,,,,,,,,,122,1.12
202401,QJ2,Derby and Derbyshire ICB,1004440000,Etwall Dental Practice Ltd (IMOS),DE65 6LP,E01019840,0,274276.12,321,0,0,8,96,5,0,0,0,0,2,656,1.12
202401,QF7,South Yorkshire ICB,1004450000,Dental Directions,S5 8BE,E01008123,1,1.23,312.8,0,0,101,42,3,0,5,9,0,356,682,1.23
202401,QJ2,Derby and Derbyshire ICB,1004470000,Stephen Shaffery -The Dove Dental,DE1 2GJ,E01013480,0,79006.12,196,0,0,0,62,2,0,0,0,0,,340,1.12
202401,QT1,Nottingham and Nottinghamshire ICB,1004480000,The Ropewalk Dental,NG1 5DW,E01032522,0,102141.12,221,0,0,0,62,7,0,0,0,0,1,315,1.12
202401,QWU,Coventry and Warwickshire ICB,1004490000,Neha Sadhev,CV37 8TA,E01031212,8000,239747.2,761,0,0,172,113,16,0,11,30,2,752,1643,239747.2
202401,QUA,Black Country ICB,1004590000,Richmond House Dental Practice,DY8 4BU,E01009731,8918,310729.23,662,0,0,247,38,7,0,19,30,2,689,2241,310729.23
202401,QUA,Black Country ICB,1004630000,MR SB MAHALEKAM,WS3 1BZ,E01010283,2000,50656.89,197.2,0,0,10,13,9,0,8,6,0,167,469,50656.89
202401,QUA,Black Country ICB,1004650000,Dr Sapna Hanji Chandrashekar,WS1 1QJ,E01010371,2000,53282.6,190.6,0,0,30,19,8,0,5,3,0,164,390,53282.6
202401,QK1,"Leicester, Leicestershire and Rutland ICB",1004660000,Bowling Green Dental Care Ltd,LE3 2FU,E01032867,13558,406302.66,1195.6,0,0,298,94,24,0,34,73,0,1212,3741,406302.66
202401,QJ2,Derby and Derbyshire ICB,1004670000,Derby Raynesway Partnership,DE24 0DW,E01013477,631,23342.21,54.6,0,0,30,3,0,0,1,3,1,291,186,23342.21
202401,QNQ,Frimley ICB,1004720000,Rodericks Dental Ltd,SL6 9BR,E01016532,18000,560562.79,1305,1,0,440,115,34,3,21,65,0,1447,4388,560562.79
202401,QNX,Sussex ICB,1004760000,Jayne Withinshaw Limited,RH20 2BP,E01031662,4950,145756.5,379.8,0,0,146,44,5,0,6,4,1,559,1143,145756.5
202401,QNX,Sussex ICB,1004770000,Knights Dental Surgery Limited,PO21 5HG,E01031406,1140,35823.38,37,0,0,22,5,0,0,0,0,0,231,58,35823.38
202401,QK1,"Leicester, Leicestershire and Rutland ICB",1004780000,Rodericks Dental Ltd,LE4 1ET,E01013619,13122,414429.91,967.2,0,145.8,218,134,40,2,6,51,0,1460,3361,414429.91
202401,QRV,North West London ICB,1004850000,Harrow Road Dental Practice,W9 3RA,E01004755,3000,96825.12,56.4,0,0,36,2,0,0,1,2,0,271,332,96825.12
202401,QOC,"Shropshire, Telford and Wrekin ICB",1004860000,New Park House Dental Centre,SY3 7FA,E01028984,3750,125047.99,195,0,0,126,16,3,0,0,5,0,981,387,125047.99
202401,QRV,North West London ICB,1004880000,Sharareh Naghibi and Barry Lanesman,W2 3PH,E01004694,6000,187782.05,807,0,0,42,31,18,0,48,5,0,53,1262,187782.05
202401,QWO,West Yorkshire ICB,1004900000,Mr Imtiaz Khajwal,HD8 9HR,E01011110,6899,238992.06,555.2,0,0,204,50,16,0,8,21,0,424,1701,238992.06
202401,QU9,"Buckinghamshire, Oxfordshire and Berkshire West ICB",1005060000,Rodericks Dental Ltd,HP12 4JN,E01017912,13759,437073.81,1121.2,0,0,346,119,45,0,9,71,0,1497,3161,437073.81
202401,QU9,"Buckinghamshire, Oxfordshire and Berkshire West ICB",1005080000,Aspire Dental Care Limited,HP7 9PH,E01017775,12000,368774.12,884.8,0,0,326,82,15,1,13,59,4,1139,3098,368774.12
202401,QYG,Cheshire and Merseyside ICB,1005210000,Wirral Community Trust,CH46 2QQ,E01007204,5355,197437.01,191.6,1,0,39,27,7,0,3,3,0,309,708,197437.01
202401,QOP,Greater Manchester ICB,1005540000,Shaw Family Dental Practice Partnership,OL2 8NH,E01005447,29628,1127948.97,3288.4,0,0,889,203,137,5,72,157,8,2311,6610,1086605.66
202401,QT1,Nottingham and Nottinghamshire ICB,1005550000,Southwell Dental Care,NG25 0BH,E01028346,1,1.21,,,,,,,,,,,,,1.21
202401,QWE,South West London ICB,1005720000,The Royal Hospital for Neuro-disability Dental Practice,SW15 3SW,E01004628,1,196894.61,,,,,,,,,,,,,196894.61
202401,QNC,Staffordshire and Stoke-on-Trent ICB,1005740000,Primecare Oral Heatlh Services Ltd,ST4 1AT,E01014293,24816,761427.27,1844.4,0,0,407,161,61,11,39,87,4,1563,5770,761427.27
202401,QOQ,Humber and North Yorkshire ICB,1005940000,The Dental Design Studio,DN16 2AA,E01013316,13000,397380.99,2224,0,0,1247,160,42,2,9,135,3,1999,2752,397380.99
202401,QNQ,Frimley ICB,1005960000,Dr Paul Nicholas Mamak,GU16 6LE,E01030770,2904,88426.42,139.4,0,0,57,17,1,0,1,12,0,490,490,88426.42
202401,QUA,Black Country ICB,1006000000,New Light DA Limited,WS8 6EQ,E01010306,2000,53820.81,290.8,0,0,18,38,9,1,8,9,0,128,348,53820.81
202401,QRV,North West London ICB,1006030000,Ramesh Siva,SW1V 3HD,E01004668,7000,212097.03,606.2,0,0,119,78,20,2,5,66,0,625,1836,212097.03
202401,QOP,Greater Manchester ICB,1006060000,REVIVE DENTAL CARE LIMITED,M3 6BZ,E01032906,5495,172805.73,209,0,0,111,17,7,0,0,10,0,662,762,172805.73
202401,QOP,Greater Manchester ICB,1006070000,"Brady, Shalin &  Naylor Partnership",BL3 1HH,E01004911,5342,172805.73,369.6,0,0,54,26,22,4,8,3,0,253,568,172805.73
202401,QR1,Gloucestershire ICB,1006160000,Rodericks Dental Ltd,GL52 2LZ,E01022102,24000,725647.62,501.6,0,0,113,45,9,1,11,58,0,1075,4129,725647.62
202401,QRV,North West London ICB,1006170000,S & Y Golar,W2 3BP,E01004682,12600,410853.33,755.6,0,0,60,29,28,3,31,63,0,231,1811,410853.33
202401,QR1,Gloucestershire ICB,1006180000,Rodericks Dental Ltd,GL2 4AL,E01032933,24000,725647.62,,,,,,,,,,,189,1356,725647.62
202401,QUA,Black Country ICB,1006220000,Dr Sudhakar Damodaraswamy,DY3 3TA,E01009896,6811,265900.2,709,0,0,217,77,29,0,9,5,2,403,2090,265900.2
202401,QNC,Staffordshire and Stoke-on-Trent ICB,1006310000,Genesis Smiles Centre LLP,ST1 3NF,E01014231,33500,1023691.85,1576.2,0,0,240,103,78,0,51,21,0,1408,3359,1023691.85
202401,QOP,Greater Manchester ICB,1006320000,Kings Dental Centre,SK14 3EH,E01006050,5495,172805.73,,,,,,,,,,,,37,172805.73
