_LATE_SUBMITTED_FP17,_COMMISSIONER_NAME,_COMMISSIONER_CODE,_UDA_DELIVERED,_BAND_3_DELIVERED,_UDA_DELIVERED_FD,_LATEST_PPC_ADDRESS_POSTCODE,YEAR_MONTH,_UDA_PERF_TARGET,_PROVIDER_NAME,_GENERAL_DENTAL_FIN_VALUE,_BAND_1_DELIVERED,_UDA_FIN_VAL,_CHILD_12M_COUNT,_LSOA11_CODE,_BAND_URGENT_DELIVERED,_CONTRACT_NUMBER,_BAND_OTHER_DELIVERED,_BAND_2_DELIVERED,_ADULT_24M_COUNT
6,"Cheshire, Warrington and Wirral AT",Q44,1902.2,39,102.6,CH42 8NA,201906,25485,Westbourne Dental Practice Wirral Limited,808587.79,401,808587.79,611,E01007248,151,1011040000,13,269,1574
0,South Yorkshire and Bassetlaw AT,Q51,2716.8,35,62.8,S25 2EX,201906,45179,High Green & Dinnington Dental Practices,1506439.34,819,1506439.34,3144,E01007790,189,1537370003,12,402,11913
1,South Yorkshire and Bassetlaw AT,Q51,2320.6,53,209.4,S61 3JN,201906,34621,Kimberworth Park Practice Limited,1157375.97,569,1157375.97,2760,E01007807,143,1987300001,13,303,10367
0,South Yorkshire and Bassetlaw AT,Q51,1319.6,25,120.6,S13 8LU,201906,25655,Richmond Dental Care Limited,796468.81,541,806816.5,1716,E01007963,73,1987490001,13,129,5554
0,South Yorkshire and Bassetlaw AT,Q51,1374.4,8,0,S6 1LA,201906,17470,MR RN KYNMAN,414187.34,629,414187.34,1271,E01008088,112,8222800002,17,166,4586
0,"Cumbria, Northumberland, Tyne and Wear AT",Q49,1923.4,43,99.2,NE10 9ND,201906,23296,Park View Family Dental,684465.16,530,684465.16,1462,E01008215,12,6013650001,14,283,6782
0,"Cumbria, Northumberland, Tyne and Wear AT",Q49,1016.4,31,0,NE1 8DQ,201906,13884,Philip Brantingham and Kim Anne Brantingham,360328.5,195,360328.5,510,E01008397,57,9174270003,13,112,3976
0,"Cumbria, Northumberland, Tyne and Wear AT",Q49,3120.4,74,0,NE6 1SD,201906,52238,Whitecross Dental Care Limited,1384101.4,862,1384101.4,3502,E01008429,142,1447700001,14,392,14029
0,"Cumbria, Northumberland, Tyne and Wear AT",Q49,4287.2,112,0,NE12 6YT,201906,58286,The Killingworth Dental Practice Partnership,1672448.17,1103,1672448.17,3862,E01008504,196,1266240001,12,531,14054
0,"Cumbria, Northumberland, Tyne and Wear AT",Q49,2193.6,44,0,NE34 0AR,201906,29504,MR DJ WHITE,801591.05,416,801591.05,1723,E01008590,123,2195760001,12,356,6874
0,"Cumbria, Northumberland, Tyne and Wear AT",Q49,1464.6,36,202.4,NE32 3JA,201906,21674,MR I DAVIES,576166.89,374,576166.89,1296,E01008604,68,9412120001,13,188,5017
0,"Cumbria, Northumberland, Tyne and Wear AT",Q49,5964,163,112.2,NE33 2LX,201906,83974,South Tyneside Smiles Limited,2316773.54,1365,2316773.54,4821,E01008667,224,1766480001,20,770,18341
0,"Cumbria, Northumberland, Tyne and Wear AT",Q49,5920.6,193,0,SR1 1QH,201906,86878,Silver and Charlton,2440948.45,1231,2440948.45,4386,E01008703,218,1508860001,18,699,19766
0,Birmingham and The Black Country AT,Q54,1238,21,0,B38 8RH,201906,18339,Kings Norton Dental Practice,471670.34,457,471670.34,1314,E01009119,50,1207070001,14,156,4494
0,Birmingham and The Black Country AT,Q54,3872.2,145,0,B44 9SU,201906,45903,The Smile Centre(Birmingham) Ltd,1179714.51,636,1179714.51,3465,E01009128,71,1868130001,14,466,13116
0,"Arden, Herefordshire and Worcestershire AT",Q53,863.4,38,0,CV2 1NB,201906,12500,MR M FIAZ,357826.05,70,357826.05,463,E01009607,37,3392020001,12,90,2128
1,Birmingham and The Black Country AT,Q54,9419.8,324,137.4,B64 5HJ,201906,97227,"Balbir S Bhandal, Amrik S Bhandal & Baljit S Bhandal",2998380.11,880,2998380.11,3858,E01009953,194,6386330020,17,1464,20395
0,Birmingham and The Black Country AT,Q54,943,12,151.4,B93 9AW,201906,12244,MR M BINAMIN,299977.33,452,299977.33,1668,E01010152,45,2458600001,12,97,4444
0,Birmingham and The Black Country AT,Q54,1843.6,35,0,WS1 1PQ,201906,26000,Petrie Tucker & Partners Ltd,653356.7,468,653356.7,2135,E01010368,43,1013700096,13,297,6753
0,Birmingham and The Black Country AT,Q54,2929.2,102,0,WV2 3DN,201906,33459,Dudley Road Dental Practice,912213.5,447,912213.5,2780,E01010428,91,1002670000,13,381,7554
0,Birmingham and The Black Country AT,Q54,1957.2,47,0,WV3 7DF,201906,27023,"Titley, Darby, Dehal and Associates",657398.68,570,657398.68,1505,E01010467,89,1904890001,12,231,5913
0,West Yorkshire AT,Q52,5349.8,123,0,HX1 1UX,201906,85709,Whitecross Dental Care Limited,2448641.15,1462,2448641.15,4487,E01010994,259,1013380104,13,696,20045
0,West Yorkshire AT,Q52,1337.4,15,0,HD1 4EN,201906,18600,Greenhead Dental Practice Limited,489766.56,507,489766.56,1614,E01011232,27,1619420001,12,205,4147
0,West Yorkshire AT,Q52,1254.4,21,0,LS15 8DZ,201906,21490,MR WS MALACH,646275.7,521,646275.7,1034,E01011409,12,2310100001,20,152,5223
0,West Yorkshire AT,Q52,2200.8,28,0,WF11 8EB,201906,22272,MR A HUSSAIN,669194.14,551,669194.14,1584,E01011808,64,7219800004,19,409,5822
0,West Yorkshire AT,Q52,1918,39,0,WF2 9BQ,201906,28557,St Michaels Family Dental Practice,946385,722,946385,2260,E01011907,38,9150170001,14,223,7557
0,"Durham, Darlington and Tees AT",Q45,2188.4,88,0,TS26 8DD,201906,34821,Bentley Mathieson Dentalcare,890198.73,326,890198.73,1767,E01011974,47,2035050003,12,246,6232
0,"Durham, Darlington and Tees AT",Q45,2313.4,75,0,TS25 1RR,201906,33811,MR ND SMITH,830727.79,582,830727.79,2153,E01011987,76,3281460001,32,225,8845
0,"Durham, Darlington and Tees AT",Q45,1843.8,35,0,TS5 5HR,201906,30026,MR MA QURAISHI,709351.66,561,709351.66,2242,E01012054,199,2093840001,12,201,7881
0,"Durham, Darlington and Tees AT",Q45,2316,69,246.4,TS10 4NY,201906,32845,Mr B Johnson and Ms F Beaty,1046040.64,452,1046040.64,2583,E01012129,90,2101290001,19,303,8931
0,"Durham, Darlington and Tees AT",Q45,788.2,18,0,DL1 4SU,201906,15400,Burgess Hyder Dental Group,341913.62,123,341913.62,1255,E01012319,111,8330370009,13,98,3786
0,Merseyside AT,Q48,1336.2,37,0,WA7 5RL,201906,20500,Halton Road Family Dental Practice,478694.94,295,478694.94,1415,E01012404,65,1701190001,12,158,5501
2,Lancashire AT,Q47,6299.6,200,0,FY1 3EJ,201906,89660,King Street Dental Surgery,2208533.19,1560,2652251.35,4076,E01012737,234,1822650001,26,671,17826
0,North Yorkshire and Humber AT,Q50,5834.6,131,318.2,HU3 6HP,201906,79925,543 Dental Centre Limited,2484477.73,1719,2484477.73,5333,E01012865,218,1040940001,49,738,22977
0,North Yorkshire and Humber AT,Q50,683,4,0,YO15 2BA,201906,9815,MR N SINCLAIR,230848.85,176,230848.85,185,E01012945,49,7364490001,13,129,1666
0,North Yorkshire and Humber AT,Q50,3656,42,0,HU15 2EP,201906,43039,South Cave Dental Surgery,1100805.34,1624,1100805.34,3769,E01012967,180,2136830001,16,432,13919
0,North Yorkshire and Humber AT,Q50,1015.6,21,0,YO25 6AP,201906,11000,City Health Dental,402377.51,339,402377.51,692,E01012982,68,1006730000,15,110,2321
0,North Yorkshire and Humber AT,Q50,1399.6,27,0,HU11 4AA,201906,15658,MR DG BOFF,486435.97,534,486435.97,1387,E01013031,13,7397660001,25,173,5345
0,North Yorkshire and Humber AT,Q50,2073.2,21,0,YO31 9HU,201906,25582,The Dental Hub,765292.11,894,765292.11,1629,E01013404,76,2197890001,13,271,7565
0,Leicestershire and Lincolnshire AT,Q59,1459.8,22,0,LE5 4EL,201906,17811,Dr Hindocha Ltd.,476495.41,186,476495.41,1837,E01013671,89,1620780003,15,299,3573
0,"Arden, Herefordshire and Worcestershire AT",Q53,1840.4,33,192.4,HR1 2ES,201906,29000,S Mehra and C Brady,776938.12,628,776938.12,1836,E01014011,107,1763700001,12,226,9215
2,"Bristol, North Somerset, Somerset, South Gloucestershire AT",Q65,12174.6,256,935.2,BS23 2YG,201906,168355,Taneja and Pangotra Partnership,4342413.24,3206,4342413.24,11870,E01014813,674,1967030001,52,1672,40116
0,"Devon, Cornwall and Isles of Scilly AT",Q66,8899.8,222,0,TQ2 8NA,201906,130501,Whitecross Dental Care Limited,3581203.57,2367,3581203.57,6904,E01015262,439,1013380084,30,1104,31146
0,Wessex Local Office,Q70,1506.6,37,0,BH15 2NN,201906,19600,Adelstone Dental Care Ltd,566364.37,473,566364.37,1303,E01015456,33,1811450001,12,183,5538
0,East Anglia AT,Q56,9585,190,0,CB4 1EN,201906,144576,Petrie Tucker & Partners Ltd,3830116.08,3432,3830116.08,10334,E01018147,165,1013700004,16,1220,38462
0,"Cheshire, Warrington and Wirral AT",Q44,1298,13,0,SY14 8NR,201906,18300,Sachin Uduchana,446680.86,542,446680.86,1191,E01018355,68,1370300001,15,168,4787
0,Lancashire AT,Q47,2801.2,66,0,LA14 1DL,201906,33996,Cavendish Dental Practice,844553.88,778,844553.88,2331,E01019157,61,7244910003,16,377,8760
0,Lancashire AT,Q47,1917.6,31,0,LA9 4RF,201906,25993,Rodericks Dental Limited,848121.21,771,848121.21,2053,E01019370,128,9991990001,12,205,7913
0,Derbyshire and Nottinghamshire AT,Q55,1816.6,29,0,S40 1LQ,201906,28035,Clarence Road Dental Care Partnership,671305.62,624,671305.62,1623,E01019538,83,3318640001,14,237,7261
0,Derbyshire and Nottinghamshire AT,Q55,2160,51,0,DE7 8JD,201906,26501,MR K MANTLE,689028.34,620,689028.34,1920,E01019645,60,9112160001,12,274,7921
0,"Devon, Cornwall and Isles of Scilly AT",Q66,1648.6,36,339.6,EX13 5HU,201906,21000,Mr J Nuttall & Dr T Hodges,548792.65,565,548792.65,1538,E01019886,77,1756170001,13,182,6586
2,"Devon, Cornwall and Isles of Scilly AT",Q66,1419.6,22,309,EX16 6RR,201906,31724,Castle View Dental Practice,998722.19,504,998722.19,2103,E01020048,123,7625200001,12,166,10769
0,"Devon, Cornwall and Isles of Scilly AT",Q66,1255.2,7,0,TQ12 2HP,201906,19373,St Pauls Dental Practice Ltd,661761.52,450,661761.52,818,E01020217,36,1700620001,28,213,5192
0,"Durham, Darlington and Tees AT",Q45,1747,48,122,DH9 0JE,201906,30842,Honour Health Partnership,804407.19,529,804407.19,2071,E01020661,60,6368270002,13,182,6678
0,"Durham, Darlington and Tees AT",Q45,2174.6,60,143.6,DL14 9HW,201906,30150,Ms F Brown and Mr M Ellis,800585.27,563,800585.27,2165,E01020895,63,9058440001,13,264,9071
0,Surrey and Sussex AT,Q68,996,39,0,TN34 2LG,201906,10716,MS S MOUSAVI,238330,215,238330,709,E01020975,50,8550220004,13,83,3066
1,Surrey and Sussex AT,Q68,1175.4,40,0,TN38 0TU,201906,19978,Springfield Road Dental Surgery,487774.65,257,487774.65,982,E01021012,57,9374790003,27,119,4655
50,Essex AT,Q57,3272.4,95,0,CM15 9AX,201906,43259,Ongar Road Dental Practice,1103214.18,1119,1103214.18,2914,E01021433,134,1453940001,13,330,11646
0,"Bath, Gloucestershire, Swindon and Wiltshire AT",Q64,1870.6,36,0,GL8 8XB,201906,18740,Tetbury Dental Practice,406567.94,743,406567.94,575,E01022176,68,1843810004,16,201,5227
0,"Bath, Gloucestershire, Swindon and Wiltshire AT",Q64,1546.2,36,0,GL1 3HF,201906,24000,opaleye & middlefell ltd,618316.49,520,618316.49,2357,E01022311,66,1996480001,13,168,6725
1,Wessex Local Office,Q70,2994.8,60,238.6,SP6 1JD,201906,40500,Whitecross Dental Care Limited,1220890.4,1174,1220890.4,2946,E01023022,139,1013380133,15,307,13633
0,Wessex Local Office,Q70,2079.4,21,0,SO14 0YG,201906,29478,Solent Dental Services,4858726.35,1085,4958561.17,4116,E01023143,97,1634570029,25,208,9060
0,Lancashire AT,Q47,1807.6,39,0,BB5 3JD,201906,33780,Petrie Tucker & Partners Ltd,1057297.57,468,1057297.57,1633,E01025076,63,1013700084,14,261,6953
0,Lancashire AT,Q47,3897,82,0,LA1 1NE,201906,61000,Whitecross Dental Care Limited,1620652.14,1051,1620652.14,4559,E01025102,225,1894210002,16,518,13836
0,Lancashire AT,Q47,2049.8,29,120.6,WN8 8LA,201906,26185,Sandy Lane Dental Practice,782481.65,784,782481.65,2102,E01025526,69,1212820001,12,277,6975
0,Leicestershire and Lincolnshire AT,Q59,4033.2,59,0,LE11 2EN,201906,58260,Victoria House Dental Practice,1170288.85,1390,1170288.85,3485,E01025718,161,1756760002,14,569,16593
0,Leicestershire and Lincolnshire AT,Q59,3212,68,0,LE16 9HF,201906,36421,Hanji and Chaudhary MH,819863.13,947,819863.13,2775,E01025807,144,1642750001,16,420,9159
0,Leicestershire and Lincolnshire AT,Q59,4152.6,53,0,LE10 1AP,201906,53857,House of Dental Station Road,1346126.44,1816,1346126.44,3702,E01025849,188,1447380001,26,484,17250
0,Leicestershire and Lincolnshire AT,Q59,682.4,0,0,LE65 1EL,201906,8630,MISS H BURNIKELL,233434.71,206,233434.71,488,E01025917,32,9198450001,20,146,2337
0,Leicestershire and Lincolnshire AT,Q59,1202.4,12,0,LE67 6LH,201906,17732,Mr R Parekh & Mrs A Parekh,438604.9,515,438604.9,1176,E01025943,52,8842860001,16,157,5085
0,Leicestershire and Lincolnshire AT,Q59,1032.8,11,0,LN5 7RL,201906,20000,Powell and Associates,502509.49,212,502509.49,966,E01026132,74,5734770001,27,198,5720
0,Leicestershire and Lincolnshire AT,Q59,4396.4,85,0,PE10 9NB,201906,63070,Mr N Maxey & Mr W Welch,1536990.16,1663,1536990.16,3967,E01026301,127,1872080001,16,508,15142
0,Leicestershire and Lincolnshire AT,Q59,2884.8,43,0,NG31 7DL,201906,33500,Appoline Dental Care,919014.42,1068,919014.42,2267,E01026311,119,7969640002,27,375,8984
0,East Anglia AT,Q56,2900.4,41,260.2,NR7 0UD,201906,51443,MR JG PLUMMER,1523901.45,1063,1523901.45,4025,E01026575,132,8271340010,13,384,16298
0,East Anglia AT,Q56,2065,55,67.6,NR31 8HB,201906,22126,MR JG PLUMMER,707203.51,481,707203.51,1357,E01026585,60,8271340012,14,276,6753
0,East Anglia AT,Q56,1657,32,82.4,NR30 2QP,201906,24945,MR JG PLUMMER,768545.37,334,768545.37,1442,E01026623,102,8271340013,13,264,6626
0,East Anglia AT,Q56,3575.8,67,0,NR4 7HN,201906,46679,The Denteam Dental Centre,1312244.91,1210,1312244.91,3704,E01026868,89,8430590001,26,481,13169
0,East Anglia AT,Q56,2267.2,34,0,NR18 0RF,201906,32392,MR JG PLUMMER,975527.27,917,975527.27,2626,E01026945,184,8271340009,13,236,11500
1,Hertfordshire and The South Midlands AT,Q58,1977.2,41,0,NN17 2UR,201906,28900,OASIS DENTAL CARE LTD,807298.88,328,807298.88,2133,E01026973,362,1012810229,20,237,8261
0,Hertfordshire and The South Midlands AT,Q58,3618.6,60,0,NN5 6JN,201906,44684,MR AT LAMB,1140903.6,1502,1140903.6,4326,E01027217,62,2738480001,20,435,13819
0,"Cumbria, Northumberland, Tyne and Wear AT",Q49,3542,93,0,NE24 5EZ,201906,61155,Whitecross Dental Care Limited,1679156.77,987,1679156.77,2938,E01027415,144,1169980001,14,414,14340
0,"Cumbria, Northumberland, Tyne and Wear AT",Q49,617.2,15,0,NE63 8NQ,201906,8000,The Linden Cottage Partnership,199267.55,261,199267.55,588,E01027525,16,5789400001,14,51,2753
0,"Cumbria, Northumberland, Tyne and Wear AT",Q49,2144.8,61,0,NE64 6PF,201906,32087,Philip Brantingham and Kim Anne Brantingham,799452.78,487,799452.78,1560,E01027544,152,9174270004,22,238,7052
0,North Yorkshire and Humber AT,Q50,1280.2,19,221.6,YO18 7DL,201906,17900,MISS IT GREENSTREET,567814.13,526,567814.13,1406,E01027792,71,7500690001,18,141,6166
0,South Yorkshire and Bassetlaw AT,Q51,2958,50,60.4,DN22 6NX,201906,35365,Retford Dental Care,1043716.84,1178,1043716.84,2928,E01028011,175,1908880002,14,315,11173
0,South Yorkshire and Bassetlaw AT,Q51,1731,22,0,S80 2AS,201906,27894,Number 9 Dental Care Ltd,808096.28,712,808096.28,1526,E01028062,75,1091340001,15,213,7016
0,South Yorkshire and Bassetlaw AT,Q51,3044.2,47,344.2,S80 2AS,201906,50922,Wright Dental Care Ltd,1365889.01,821,1365889.01,3126,E01028062,116,1123480001,19,493,12801
0,Derbyshire and Nottinghamshire AT,Q55,924.6,11,0,NG18 1QJ,201906,22639,Dental Care Centre,531864.74,403,531864.74,996,E01028284,48,2565950001,12,103,4991
0,"Bristol, North Somerset, Somerset, South Gloucestershire AT",Q65,666.6,6,0,TA10 9PU,201906,13482,Miss O'Herlihy,308357.16,163,308357.16,658,E01029200,48,8138930001,12,117,3428
0,Shropshire and Staffordshire AT,Q60,1206.2,16,0,WS7 1AQ,201906,16106,SM Dental Care Ltd,312136.67,437,312136.67,823,E01029490,11,1385840002,12,184,4094
2,Shropshire and Staffordshire AT,Q60,3174.8,36,0,WS13 6LL,201906,49250,Bore Street Dental Practice Limited,1154625.07,1351,1154625.07,3069,E01029526,94,1483260001,14,415,13990
0,East Anglia AT,Q56,2977.4,79,218.6,CO10 2SX,201906,40973,Bank Buildings Dental Practice,965542.18,864,965542.18,2560,E01029918,127,1823970001,18,332,12193
2,East Anglia AT,Q56,4257.8,67,0,NR32 4PH,201906,51722,MR JG PLUMMER,1366754.79,1317,1366754.79,3302,E01030240,309,8271340015,18,584,14854
0,Surrey and Sussex AT,Q68,1350.8,19,0,GU1 3LE,201906,18053,MR SN GALVIN,564713.47,433,564713.47,1192,E01030455,73,2345400001,14,196,4579
0,"Arden, Herefordshire and Worcestershire AT",Q53,1126.6,7,0,B46 3BJ,201906,20993,Coleshill Smile Care Limited,621859.42,473,621859.42,1007,E01031021,98,1807930001,12,147,5915
0,"Arden, Herefordshire and Worcestershire AT",Q53,2165,54,0,CV11 4LE,201906,37353,Prestige Dental Care,965415.79,585,965415.79,1702,E01031064,55,2629190001,12,282,7625
0,"Arden, Herefordshire and Worcestershire AT",Q53,3168.8,52,0,CV21 3BG,201906,41132,MRS RP ATWAL,1277925.04,1340,1277925.04,3274,E01031144,19,7643530001,16,374,13073
0,Surrey and Sussex AT,Q68,1585.2,28,0,PO21 5SB,201906,22127,Five Rivers Dental Ltd,614084.62,566,614084.62,1519,E01031382,41,1602370001,13,210,6090
0,"Bath, Gloucestershire, Swindon and Wiltshire AT",Q64,2029.8,40,128.2,SP4 7HQ,201906,25241,Panwalkar/Parekh/Deshpande/Agrawal/Lalan/Mhapankar,663673.51,690,663673.51,2311,E01031979,64,6522960001,17,256,7671
2,Shropshire and Staffordshire AT,Q60,4763.2,79,0,DE14 1AN,201906,63000,OASIS DENTAL CARE LTD,1605870,1070,1605870,4073,E01032896,181,1012810063,12,836,14075
3,Thames Valley AT,Q69,3012,72,0,HP20 1RP,201906,40939,Sam Health Ltd,1022552.05,833,1022552.05,2545,E01032961,175,1343840001,13,363,10417
605,Lancashire AT,Q47,2465.2,31,0,LA1 1UU,201906,36251,BROCK STREET DENTAL PRACTICE LTD,1079630.4,918,1079630.4,2834,E01033071,226,1997100001,12,299,11161
0,"Cumbria, Northumberland, Tyne and Wear AT",Q49,5257.6,151,0,SR6 7DH,201906,64555,The Southwick and Whitburn Dental Practice Partnership,1739489.95,1474,1739489.95,4955,E01033075,187,1598910001,21,572,17953
,North East London AT,Q61,,,,NW7 3RE,201906,1393,Margaret Andi,29953.38,,29953.38,462,E01000264,,3085360001,,,248
,North West London AT,Q62,,,,HA0 2DW,201906,720,"Bhutta, Padayachee & Associates",20257.21,,20257.21,56,E01000634,,1945220001,,,332
,North West London AT,Q62,,,,W12 0AE,201906,1,Tooth and Mouth Limited,1.04,,1.04,,E01001876,,1382660002,,,
,North West London AT,Q62,,,,SW6 7HT,201906,694,Sarveen Mann,15269.38,,15269.38,90,E01001879,,2140350001,,,102
,North West London AT,Q62,,,,HA8 6LD,201906,195,MISS Y LIU,3636.04,,3636.04,116,E01002118,,2459760001,,,11
,North West London AT,Q62,,,,TW13 4ND,201906,1,MR AQ KHAN,103495.16,,103495.16,,E01002596,,3437140001,,,
,South London AT,Q63,,,,SE6 4AF,201906,90,Splendent Care Ltd,4828.97,,4828.97,,E01003324,,1223000004,,,4
,North East London AT,Q61,,,,IG1 1QE,201906,11956,MR AD PATEL,303915.67,,303915.67,,E01003688,,2095110001,,,
,South London AT,Q63,,,,TW11 0AB,201906,351,MR RH BAYLIS,9263.04,,9263.04,80,E01003887,,6516800001,,,86
,South London AT,Q63,,,,SE21 7AQ,201906,80,MISS KE OPIE-SMITH,2490.54,,2490.54,,E01004069,,5772940001,,,
,South London AT,Q63,,,,SW15 3SW,201906,1,The Royal Hospital for Neuro-disability Dental Practice,124700.35,,124700.35,,E01004628,,1005720000,,,
,North West London AT,Q62,,,,SW7 1NA,201906,7500,Mrs R Szasz & Miss E Szasz,163657.05,,163657.05,19,E01004692,,1006510000,,,192
,North West London AT,Q62,,,,W1U 4JD,201906,545,MR RA SILVESTER,15404,,15404,,E01004717,,1011620000,,,
,Greater Manchester AT,Q46,,,,M25 1AF,201906,100,MR M HAFFNER,1975.76,,1975.76,1,E01005036,,6326860001,,,17
,Greater Manchester AT,Q46,,,,OL8 1QN,201906,886,MR S SHIMBERG,24880.41,,24880.41,,E01005434,,8162130002,,,
,Greater Manchester AT,Q46,,,,M24 5RU,201906,2062,MR TJ DRABU,52768.97,,52768.97,90,E01005524,,5719380001,,,344
,Greater Manchester AT,Q46,,,,M24 5RU,201906,6562,The Langley Dental Group Limited,167909.7,,167909.7,110,E01005524,,9828300001,,,949
,Greater Manchester AT,Q46,,,,M24 6TE,201906,7330,MF Dental Partners,187540.66,,187540.66,377,E01005535,,1389590001,,,1098
,Merseyside AT,Q48,,,,NN4 5EZ,201906,2,REVIVE DENTAL CARE LIMITED,236011.57,,428364.93,,E01005634,,1600590019,,,
,"Cheshire, Warrington and Wirral AT",Q44,,,,L35 5DR,201906,1,Bridgewater Community Healthcare NHS Foundation Trust,1.03,,1.03,,E01006499,,1743430008,,,
,Merseyside AT,Q48,,,,L16 7PF,201906,1,Shark Dent,1,,1,68,E01006588,,6746990001,,,588
,"Cheshire, Warrington and Wirral AT",Q44,,,,WA9 3DA,201906,1,Bridgewater Community Healthcare NHS Foundation Trust,1.03,,1.03,,E01006845,,1743430005,,,
,Merseyside AT,Q48,,,,WA10 1UH,201906,1,Bridgewater Community Healthcare NHS Foundation Trust,1.03,,1.03,,E01006881,,1743430011,,,
,"Cheshire, Warrington and Wirral AT",Q44,,,,CH49 5PE,201906,1,Wirral Community NHS Trust,1.03,,1.03,,E01007251,,1272130003,,,
,"Cheshire, Warrington and Wirral AT",Q44,,,,CH49 5PE,201906,1,Wirral Community NHS Trust,1.03,,1.03,,E01007251,,1272130009,,,
,South Yorkshire and Bassetlaw AT,Q51,,,,S63 9LQ,201906,1837,TSJ Smile Limited,51988,,51988,,E01007369,,1007380000,,,
,South Yorkshire and Bassetlaw AT,Q51,,,,DN4 8QN,201906,100,Rotherham NHS Foundation Trust,2614.29,,2614.29,,E01007502,,1811960017,,,21
,South Yorkshire and Bassetlaw AT,Q51,,,,S5 6NU,201906,19,Sheffield SPDCS,73374.26,,73374.26,,E01007849,,1669440010,,,1
,South Yorkshire and Bassetlaw AT,Q51,,,,S10 2TX,201906,1800,Sheffield Teaching Hospital NHS FT,77320.34,,77320.34,1,E01007866,,1151420001,,,128
,South Yorkshire and Bassetlaw AT,Q51,,,,S35 4LQ,201906,849,High Green & Dinnington Dental Practices,28967.9,,28967.9,,E01007900,,1537370004,,,5
,South Yorkshire and Bassetlaw AT,Q51,,,,S2 3UA,201906,65,Norfolk Park Family Dental Centre,1821,,1821,8,E01008096,,1007420000,,,25
,South Yorkshire and Bassetlaw AT,Q51,,,,S5 9ND,201906,799,Parson Cross Dental Surgery,22600,,22600,113,E01008117,,1007300000,,,105
